,odds
0,140
1,-179
2,-133
3,105
4,-123
5,100
6,253
7,-333
8,-145
9,130
10,-225
11,175
12,-167
13,134
14,110
15,-137
16,140
17,-170
18,-667
19,450
20,165
21,-208
22,195
23,-250
24,-263
25,205
26,-556
27,375
28,-255
29,260
30,240
31,-333
32,-112
33,-114
34,195
35,-250
36,245
37,-333
38,140
39,-179
40,-175
41,135
42,-250
43,195
44,-294
45,225
46,-233
47,180
48,183
49,-233
50,-179
51,140
52,-110
53,-110
54,123
55,-154
56,172
57,-222
58,101
59,-125
60,-132
61,106
62,600
63,-900
64,205
65,-263
66,-120
67,-104
68,355
69,-500
70,-303
71,235
72,-165
73,135
74,-286
75,220
76,252
77,-333
78,-156
79,125
80,-175
81,150
82,160
83,-200
84,-159
85,128
86,253
87,-333
88,-112
89,-112
90,100
91,-123
92,-210
93,165
94,-500
95,355
96,105
97,-130
98,-154
99,124
100,500
101,-769
102,-189
103,150
104,-149
105,120
106,195
107,-250
108,-200
109,155
110,-208
111,165
112,-370
113,275
114,195
115,-250
116,175
117,-227
118,130
119,-161
120,-114
121,-109
122,-110
123,-110
124,-213
125,169
126,130
127,-161
128,-238
129,187
130,165
131,-208
132,-182
133,145
134,220
135,-270
136,132
137,-164
138,260
139,315
140,-175
141,138
142,195
143,-250
144,-110
145,-110
146,225
147,-294
148,-500
149,370
150,-185
151,150
152,425
153,-588
154,-417
155,310
156,-400
157,310
158,120
159,-149
160,-435
161,330
162,160
163,-200
164,-286
165,225
166,-106
167,-118
168,117
169,-147
170,170
171,-210
172,-125
173,102
174,105
175,-130
176,-625
177,450
178,170
179,-227
180,-196
181,155
182,140
183,-179
184,128
185,-156
186,420
187,-588
188,-200
189,155
190,125
191,-160
192,-213
193,170
194,225
195,-286
196,-137
197,112
198,170
199,-213
200,220
201,-286
202,-667
203,480
204,-909
205,650
206,170
207,-200
208,-135
209,110
210,205
211,-263
212,155
213,-190
214,-333
215,260
216,-135
217,108
218,-294
219,230
220,260
221,-333
222,280
223,-370
224,150
225,-189
226,-294
227,225
228,-360
229,280
230,240
231,-312
232,-215
233,175
234,-164
235,132
236,-213
237,170
238,265
239,-345
240,-233
241,185
242,133
243,-189
244,108
245,-133
246,-500
247,360
248,-161
249,130
250,270
251,-357
252,-278
253,210
254,290
255,-375
256,540
257,-769
258,-125
259,105
260,115
261,-135
262,-350
263,260
264,275
265,-357
266,200
267,-250
268,-120
269,-103
270,-275
271,225
272,-200
273,160
274,180
275,-233
276,225
277,-275
278,120
279,-149
280,-213
281,170
282,-112
283,-112
284,210
285,-278
286,-227
287,175
288,410
289,-556
290,-125
291,102
292,-179
293,140
294,140
295,-170
296,-417
297,320
298,-435
299,330
300,107
301,-132
302,-667
303,480
304,-222
305,175
306,-204
307,163
308,-182
309,145
310,125
311,-156
312,-625
313,440
314,-103
315,-120
316,143
317,-179
318,-175
319,138
320,-149
321,120
322,250
323,-333
324,-233
325,180
326,-233
327,180
328,155
329,-196
330,-204
331,163
332,143
333,-179
334,-400
335,300
336,100
337,-123
338,-139
339,112
340,160
341,-200
342,240
343,-315
344,102
345,-125
346,100
347,-125
348,-143
349,116
350,-180
351,143
352,150
353,-186
354,-190
355,150
356,-910
357,650
358,-250
359,200
360,260
361,-335
362,200
363,-250
364,510
365,-715
366,200
367,-265
368,135
369,-167
370,-400
371,300
372,-130
373,105
374,-175
375,135
376,170
377,-220
378,-400
379,300
380,170
381,-220
382,-220
383,175
384,180
385,-230
386,260
387,-345
388,750
389,-1250
390,-210
391,165
392,140
393,-175
394,143
395,-180
396,-215
397,170
398,-152
399,123
400,175
401,-205
402,160
403,-200
404,225
405,-286
406,150
407,-175
408,143
409,-177
410,-420
411,320
412,135
413,-175
414,180
415,-220
416,195
417,-250
418,-265
419,205
420,142
421,-180
422,150
423,-175
424,-167
425,135
426,175
427,-220
428,145
429,-182
430,-105
431,-121
432,110
433,-136
434,-278
435,215
436,-250
437,200
438,116
439,-143
440,265
441,-345
442,-770
443,550
444,185
445,-210
446,190
447,-225
448,175
449,-225
450,-125
451,100
452,175
453,-225
454,106
455,-132
456,-220
457,175
458,150
459,-180
460,-107
461,-115
462,135
463,-167
464,163
465,-205
466,-400
467,300
468,-230
469,180
470,-121
471,-103
472,125
473,-145
474,-250
475,200
476,175
477,-225
478,275
479,-325
480,175
481,-225
482,-175
483,138
484,-175
485,138
486,-118
487,-105
488,133
489,-167
490,-175
491,138
492,-186
493,150
494,132
495,-165
496,460
497,-625
498,-110
499,-113
500,-230
501,180
502,145
503,-182
504,-375
505,280
506,138
507,-175
508,160
509,-200
510,360
511,-480
512,-335
513,255
514,143
515,-180
516,115
517,-143
518,100
519,-125
520,-225
521,175
522,-200
523,160
524,-210
525,180
526,-360
527,270
528,390
529,-560
530,155
531,-195
532,-385
533,295
534,-112
535,-112
536,145
537,-175
538,-175
539,138
540,-315
541,245
542,143
543,-177
544,200
545,-240
546,-155
547,125
548,-182
549,145
550,150
551,-190
552,-265
553,205
554,-335
555,255
556,255
557,-335
558,195
559,-250
560,125
561,-155
562,140
563,-165
564,-118
565,-105
566,245
567,-315
568,-200
569,160
570,-278
571,215
572,140
573,-165
574,-177
575,140
576,340
577,-455
578,-200
579,155
580,-112
581,-112
582,265
583,-345
584,285
585,-350
586,265
587,-345
588,550
589,-800
590,-112
591,-112
592,-385
593,285
594,650
595,-1000
596,102
597,-127
598,130
599,-162
600,-127
601,104
602,-137
603,110
604,116
605,-143
606,420
607,-540
608,107
609,-132
610,-124
611,100
612,275
613,-360
614,600
615,-950
616,-167
617,135
618,-375
619,285
620,245
621,-315
622,-225
623,175
624,155
625,-200
626,370
627,-500
628,-530
629,380
630,100
631,-122
632,112
633,-137
634,750
635,-1250
636,-230
637,180
638,-195
639,155
640,350
641,-480
642,-250
643,200
644,-115
645,-108
646,-335
647,250
648,-190
649,150
650,115
651,-143
652,-265
653,210
654,-230
655,195
656,-550
657,400
658,123
659,-152
660,255
661,-335
662,280
663,-375
664,220
665,-278
666,260
667,-335
668,-117
669,-107
670,-250
671,195
672,162
673,-188
674,105
675,-132
676,-345
677,265
678,-186
679,150
680,300
681,-400
682,245
683,-315
684,-275
685,210
686,180
687,-210
688,123
689,-155
690,-560
691,410
692,-195
693,155
694,-235
695,190
696,100
697,-124
698,-250
699,195
700,-286
701,220
702,-112
703,-112
704,150
705,-186
706,-600
707,425
708,-175
709,138
710,-105
711,-118
712,-132
713,107
714,-225
715,175
716,170
717,-220
718,-770
719,525
720,-132
721,106
722,-230
723,180
724,-278
725,220
726,-480
727,360
728,-335
729,250
