,odds
0,-179
1,140
2,105
3,-133
4,100
5,-123
6,-333
7,253
8,130
9,-145
10,175
11,-225
12,134
13,-167
14,-137
15,110
16,-170
17,140
18,450
19,-667
20,-208
21,165
22,-250
23,195
24,205
25,-263
26,375
27,-556
28,260
29,-255
30,-333
31,240
32,-114
33,-112
34,-250
35,195
36,-333
37,245
38,-179
39,140
40,135
41,-175
42,195
43,-250
44,225
45,-294
46,180
47,-233
48,-233
49,183
50,140
51,-179
52,-110
53,-110
54,-154
55,123
56,-222
57,172
58,-125
59,101
60,106
61,-132
62,-900
63,600
64,-263
65,205
66,-104
67,-120
68,-500
69,355
70,235
71,-303
72,135
73,-165
74,220
75,-286
76,-333
77,252
78,125
79,-156
80,150
81,-175
82,-200
83,160
84,128
85,-159
86,-333
87,253
88,-112
89,-112
90,-123
91,100
92,165
93,-210
94,355
95,-500
96,-130
97,105
98,124
99,-154
100,-769
101,500
102,150
103,-189
104,120
105,-149
106,-250
107,195
108,155
109,-200
110,165
111,-208
112,275
113,-370
114,-250
115,195
116,-227
117,175
118,-161
119,130
120,-109
121,-114
122,-110
123,-110
124,169
125,-213
126,-161
127,130
128,187
129,-238
130,-208
131,165
132,145
133,-182
134,-270
135,220
136,-164
137,132
138,315
139,260
140,138
141,-175
142,-250
143,195
144,-110
145,-110
146,-294
147,225
148,370
149,-500
150,150
151,-185
152,-588
153,425
154,310
155,-417
156,310
157,-400
158,-149
159,120
160,330
161,-435
162,-200
163,160
164,225
165,-286
166,-118
167,-106
168,-147
169,117
170,-210
171,170
172,102
173,-125
174,-130
175,105
176,450
177,-625
178,-227
179,170
180,155
181,-196
182,-179
183,140
184,-156
185,128
186,-588
187,420
188,155
189,-200
190,-160
191,125
192,170
193,-213
194,-286
195,225
196,112
197,-137
198,-213
199,170
200,-286
201,220
202,480
203,-667
204,650
205,-909
206,-200
207,170
208,110
209,-135
210,-263
211,205
212,-190
213,155
214,260
215,-333
216,108
217,-135
218,230
219,-294
220,-333
221,260
222,-370
223,280
224,-189
225,150
226,225
227,-294
228,280
229,-360
230,-312
231,240
232,175
233,-215
234,132
235,-164
236,170
237,-213
238,-345
239,265
240,185
241,-233
242,-189
243,133
244,-133
245,108
246,360
247,-500
248,130
249,-161
250,-357
251,270
252,210
253,-278
254,-375
255,290
256,-769
257,540
258,105
259,-125
260,-135
261,115
262,260
263,-350
264,-357
265,275
266,-250
267,200
268,-103
269,-120
270,225
271,-275
272,160
273,-200
274,-233
275,180
276,-275
277,225
278,-149
279,120
280,170
281,-213
282,-112
283,-112
284,-278
285,210
286,175
287,-227
288,-556
289,410
290,102
291,-125
292,140
293,-179
294,-170
295,140
296,320
297,-417
298,330
299,-435
300,-132
301,107
302,480
303,-667
304,175
305,-222
306,163
307,-204
308,145
309,-182
310,-156
311,125
312,440
313,-625
314,-120
315,-103
316,-179
317,143
318,138
319,-175
320,120
321,-149
322,-333
323,250
324,180
325,-233
326,180
327,-233
328,-196
329,155
330,163
331,-204
332,-179
333,143
334,300
335,-400
336,-123
337,100
338,112
339,-139
340,-200
341,160
342,-315
343,240
344,-125
345,102
346,-125
347,100
348,116
349,-143
350,143
351,-180
352,-186
353,150
354,150
355,-190
356,650
357,-910
358,200
359,-250
360,-335
361,260
362,-250
363,200
364,-715
365,510
366,-265
367,200
368,-167
369,135
370,300
371,-400
372,105
373,-130
374,135
375,-175
376,-220
377,170
378,300
379,-400
380,-220
381,170
382,175
383,-220
384,-230
385,180
386,-345
387,260
388,-1250
389,750
390,165
391,-210
392,-175
393,140
394,-180
395,143
396,170
397,-215
398,123
399,-152
400,-205
401,175
402,-200
403,160
404,-286
405,225
406,-175
407,150
408,-177
409,143
410,320
411,-420
412,-175
413,135
414,-220
415,180
416,-250
417,195
418,205
419,-265
420,-180
421,142
422,-175
423,150
424,135
425,-167
426,-220
427,175
428,-182
429,145
430,-121
431,-105
432,-136
433,110
434,215
435,-278
436,200
437,-250
438,-143
439,116
440,-345
441,265
442,550
443,-770
444,-210
445,185
446,-225
447,190
448,-225
449,175
450,100
451,-125
452,-225
453,175
454,-132
455,106
456,175
457,-220
458,-180
459,150
460,-115
461,-107
462,-167
463,135
464,-205
465,163
466,300
467,-400
468,180
469,-230
470,-103
471,-121
472,-145
473,125
474,200
475,-250
476,-225
477,175
478,-325
479,275
480,-225
481,175
482,138
483,-175
484,138
485,-175
486,-105
487,-118
488,-167
489,133
490,138
491,-175
492,150
493,-186
494,-165
495,132
496,-625
497,460
498,-113
499,-110
500,180
501,-230
502,-182
503,145
504,280
505,-375
506,-175
507,138
508,-200
509,160
510,-480
511,360
512,255
513,-335
514,-180
515,143
516,-143
517,115
518,-125
519,100
520,175
521,-225
522,160
523,-200
